folder,file,ext,kategorie,bytes,geaendert
Alte Texte,GER_export.txt,.txt,text,203348,2016-03-18
Alte Texte,GR_export.txt,.txt,text,109828,2016-03-18
Alte Texte,GSL.doc,.doc,text,37286,2010-12-23
Alte Texte,GSL.txt,.txt,text,14601,2011-02-22
Alte Texte,GVN.txt,.txt,text,92310,2011-05-24
Alte Texte,Hans Mair Buch von Troja.doc,.doc,text,170496,2010-02-02
Alte Texte,HEI.doc,.doc,text,247341,2010-01-02
Alte Texte,HEI.txt,.txt,text,93163,2010-01-03
Alte Texte,HPF.doc,.doc,text,26624,2011-06-08
Alte Texte,HPF.txt,.txt,text,3166,2011-06-13
Alte Texte,HUG.txt,.txt,text,286266,2010-11-15
Alte Texte,HUG1.txt,.txt,text,8222,2010-11-11
Alte Texte,Hugo von MONTFORT.txt,.txt,text,181567,2010-10-15
Alte Texte,IW_export.txt,.txt,text,231368,2016-03-18
Alte Texte,Johannes Rothe Ritterspiegel.doc,.doc,text,173568,2007-01-12
Alte Texte,JUD.doc,.doc,text,362835,2011-04-02
Alte Texte,JUD.txt,.txt,text,93758,2011-04-03
Alte Texte,Jüngstes Gericht-Frau Ava.doc,.doc,text,32256,2007-01-02
Alte Texte,Konrad von Megenberg.txt,.txt,text,113767,2006-12-01
Alte Texte,Krone-Brief.txt,.txt,text,4588,2001-06-29
Alte Texte,Krone-fragm.txt,.txt,text,15872,2001-06-29
Alte Texte,Krone1-1.txt,.txt,text,5064,2001-06-29
Alte Texte,Krone1.txt,.txt,text,1198420,2006-11-15
Alte Texte,Krone2-1.txt,.txt,text,5062,2001-06-29
Alte Texte,Krone2.txt,.txt,text,780323,2001-11-05
Alte Texte,KVM.doc,.doc,text,1668096,2010-10-15
Alte Texte,KVM.txt,.txt,text,128154,2006-11-30
Alte Texte,KVM1.doc,.doc,text,187392,2006-11-29
Alte Texte,KVM1.txt,.txt,text,112930,2006-11-29
Alte Texte,KVM2.txt,.txt,text,2168,2006-11-30
Alte Texte,Kölner fechtbuch[1].doc,.doc,text,51712,2010-04-20
Alte Texte,Kölner fechtbuch[1].txt,.txt,text,25500,2010-10-30
Alte Texte,MaiundBeaflor-1.doc,.doc,text,1631842,2008-04-24
Alte Texte,MaiundBeaflor-1.pdf,.pdf,pdf,683664,2008-04-24
Alte Texte,MaiundBeaflor.txt,.txt,text,335439,2008-04-24
Alte Texte,MLB.doc,.doc,text,186741,2010-12-23
Alte Texte,MLB.txt,.txt,text,17968,2010-12-23
Alte Texte,OSW1.doc.docx,.docx,text,135803,2011-03-25
Alte Texte,OSW1.doc.txt,.txt,text,189948,2011-04-14
Alte Texte,OVG.txt,.txt,text,4558795,2008-10-10
Alte Texte,OVG8 insert.txt,.txt,text,4440,2008-09-24
Alte Texte,OvW Digital[1].doc,.doc,text,114176,2010-10-14
Alte Texte,PIK.doc,.doc,text,30208,2011-06-08
Alte Texte,PIK.txt,.txt,text,5539,2011-06-13
Alte Texte,PMS.doc,.doc,text,39424,2011-06-08
Alte Texte,PMS.txt,.txt,text,10235,2011-06-13
Alte Texte,PUT.txt,.txt,text,23956,2010-01-07
Alte Texte,RBE.txt,.txt,text,20812,2010-01-10
Alte Texte,RBE1.txt,.txt,text,13939,2010-01-08
Alte Texte,RDL.doc,.doc,text,61610,2010-12-23
Alte Texte,RDL.txt,.txt,text,26603,2011-04-13
Alte Texte,RDL1.doc.docx,.docx,text,31455,2011-04-13
Alte Texte,RF1.txt,.txt,text,67554,2011-09-15
Alte Texte,RUZ.doc,.doc,text,38241,2010-12-23
Alte Texte,RUZ.txt,.txt,text,20207,2011-02-23
Alte Texte,SBV.doc,.doc,text,54541,2011-06-13
Alte Texte,SBV.txt,.txt,text,3736,2011-06-13
Alte Texte,SFL.doc,.doc,text,418816,2010-03-03
Alte Texte,SFL.txt,.txt,text,249850,2010-03-03
Alte Texte,SFL.txt.doc,.doc,text,500224,2010-03-03
Alte Texte,SFL0.txt,.txt,text,147840,2010-02-19
Alte Texte,SFL1.txt,.txt,text,247148,2010-02-19
Alte Texte,SKS1.doc,.doc,text,8076,2011-06-09
Alte Texte,SKS10.doc,.doc,text,62081,2011-06-08
Alte Texte,SKS11.doc,.doc,text,9242,2011-06-08
Alte Texte,SKS12.doc,.doc,text,26273,2011-06-08
Alte Texte,SKS13.doc,.doc,text,32852,2011-06-08
Alte Texte,SKS14.doc,.doc,text,37099,2011-06-08
Alte Texte,SKS3.doc.docx,.docx,text,5889,2011-04-30
Alte Texte,SKS5.doc,.doc,text,28601,2011-06-08
Alte Texte,SKS6.doc,.doc,text,17112,2011-06-08
Alte Texte,SKS7.doc,.doc,text,21463,2011-06-08
Alte Texte,SKS8.doc,.doc,text,18042,2011-06-08
Alte Texte,ST-I1.doc,.doc,text,273786,2009-06-10
Alte Texte,ST2.doc,.doc,text,7335470,2009-06-23
Alte Texte,ST3.doc,.doc,text,655604,2009-06-29
Alte Texte,ST4.doc,.doc,text,1574423,2009-07-07
Alte Texte,ST5.doc,.doc,text,3037153,2009-07-12
Alte Texte,Stricker-I1.doc,.doc,text,96944,2009-06-10
Alte Texte,SVP.txt,.txt,text,34290,2010-01-29
Alte Texte,SVP1.txt,.txt,text,21998,2010-01-29
Alte Texte,Syon1.png,.png,scan,68819,2010-03-25
Alte Texte,VOR.doc,.doc,text,23040,2011-06-09
Alte Texte,VOR.txt,.txt,text,941,2011-06-09
