conceptId,prefLabelDe,prefLabelEn,altLabelDe,altLabelEn,broaderConcepts
22702060,Schmerz,Pain,Pein,Agony,22702000
22702070,Scherz/Ernst,Joke/Seriousness,Spiel,Game,22702000
22702080,Ruhe/Unruhe,Calmness/Restlessness,Friede/Unfriede,Peace/Strife,22702000
22702090,Sicherheit/Zweifel,Certainty/Doubt,Glaube/Unglaube,Faith/Faithlessness,22702000
22702100,Erwartung/Enttäuschung/Befriedigung,Expectation/Disappointment/Satisfaction,,,22702000
22702110,Hoffnung/Verzweiflung,Hope/Despair,Jammer,Lamentation,22702000
22702120,Geduld/Ungeduld/Resignation,Patience/Impatience/Resignation,Erdulden,Endure,22702000
22702130,Verwunderung,Amazement,Erstaunen,Surprise,22702000
22702140,Wahnsinn,Insanity,Tobsucht,Madness,22702000
22702150,Gewohnheit,Habit,Üblich,Usual,22702000
22703000,Selbstbezogene Gefühle,Self-contained feelings,,,22700000
22704000,Nach außen bezogene Gefühle,Feelings towards others,,,22700000
22704010,Liebe/Zuneigung/Abneigung/Gleichgültigkeit,Love/Affection/Disaffection/Indifference,,,22704000
22704020,Vertrauen/Misstrauen,Trust/Distrust,,,22704000
22704030,Ergebenheit/Starrsinn,Submissiveness/Stubbornness,Bündnis/Widerstand,Alliance/Resistance,22704000
22704040,Mitleid/Härte,Compassion/Hardness,Milde/Strenge,Mercy/Merciless,22704000
22704050,Trost,Consolation,,,22704000
22704060,Neid/Wohlwollen/Hass,Envy/Goodwill/Hatred,Gunst,Favour,22704000
22704070,Respekt/Bewunderung,Respect/Admiration,Verehrung,Adoration,22704000
22704080,Verachtung,Contempt,Beschimpfung,Villain,22704000
22704090,Dankbarkeit/Undankbarkeit,Gratitude/Ingratitude,Belohnung,Reward,22704000
22704100,Erregung/Beruhigung,Agitation/Calmness,Toben,Irritate,22704000
22705000,Übermäßige Gefühle,Excessive feelings,Begierde,Desire,22700000
22705100,Enthusiasmus,Enthusiasm,,,22705000
22705200,Wut,Rage,Aggression,Fury,22705000
22705300,Abscheu,Abhorrence,Ekel,Repulsivness,22705000
22705400,Angst/Mut,Anxiety/Courage,Schrecken,Horror,22705000
22706000,Ästhetisches Empfinden,Aesthetic sensation,,Sense of aesthetics,22700000
22707000,Moralisches Empfinden,Moral sense,,,22700000
22708000,Religiöses Empfinden,Religious feelings,,,22700000
22709000,Ursachen der Gefühle,Causes of feelings,Ursachen der Empfindungen,Causes of sentiments,22700000
22710000,Gefühlsäußerungen,Expressions of feelings,,Expressions of sentiments,22700000
22800000,Absicht/Wollen,Intention/Want,Vorsatz,Claim,22000000
22810000,Wunsch,Wish,Bitte,Need,22800000
22820000,Wille,Will,Bereitschaft,Willingness,22800000
22822000,Zweck,Purpose,Ziel,Goal,22820000
22823000,Beweggrund,Motivation,Motiv,Motive,22820000
22824000,Abwägen/Zögern,Pondering/Hesitation,Trägheit,Laziness,22820000
22825000,Entscheidung/Annahme/Aufgabe,Decision/Acceptance/Resignation,Resignation,,22820000
22826000,Willensausübung auf andere,Enforcement of will upon others,,,22820000
22826100,Autorität/Anordnung,Authority/Command,Befehl,Order,22826000
22826200,Gehorsam/Ungehorsam,Obedience/Disobedience,Folgen/Widersetzen,Follow/Oppose,22826000
22826300,Erlaubnis/Verbot,Permission/Prohibition,Gebot,Commandment,22826000
